"","ligation_id","digest_id","DNA","vol_in","water","date","barcode","pool"
"74","L2979","D3053",10,18.4,3.8,2016-09-21,1,"P069"
"60","L2980","D2943",10,16.8,5.4,2016-09-21,2,"P069"
"59","L2981","D2942",10,16.2,6,2016-09-21,3,"P069"
"63","L2982","D2951",10,15.7,6.5,2016-09-21,4,"P069"
"721","L2983","D2971",10,13.8,8.4,2016-09-21,5,"P069"
"144","L2984","D3290",10,13.4,8.8,2016-09-21,6,"P069"
"731","L2985","D2973",10,11.2,11,2016-09-21,7,"P069"
"47","L2986","D2921",10,10.8,11.4,2016-09-21,8,"P069"
"21","L2987","D2711",10,10.5,11.7,2016-09-21,9,"P069"
"124","L2988","D3264",10,10.5,11.7,2016-09-21,10,"P069"
"77","L2989","D3078",10,10.1,12.1,2016-09-21,11,"P069"
"691","L2990","D2965",10,9.82,12.4,2016-09-21,12,"P069"
"781","L2991","D2982",10,9.51,12.7,2016-09-21,13,"P069"
"65","L2992","D3011",10,9.03,13.2,2016-09-21,14,"P069"
"92","L2993","D3120",10,8.64,13.6,2016-09-21,15,"P069"
"100","L2994","D3146",10,8.58,13.6,2016-09-21,16,"P069"
"76","L2995","D3074",10,8.51,13.7,2016-09-21,17,"P069"
"68","L2996","D3023",10,8.24,14,2016-09-21,18,"P069"
"91","L2997","D3118",10,7.65,14.5,2016-09-21,19,"P069"
"761","L2998","D2979",10,7.46,14.7,2016-09-21,20,"P069"
"61","L2999","D2947",10,7.4,14.8,2016-09-21,21,"P069"
"112","L3000","D3252",10,7.02,15.2,2016-09-21,22,"P069"
"661","L3001","D2960",10,6.76,15.4,2016-09-21,23,"P069"
"821","L3002","D2999",10,6.73,15.5,2016-09-21,24,"P069"
"55","L3003","D2933",10,6.73,15.5,2016-09-21,25,"P069"
"82","L3004","D3094",10,6.66,15.5,2016-09-21,26,"P069"
"98","L3005","D3143",10,6.6,15.6,2016-09-21,27,"P069"
"48","L3006","D2923",10,6.5,15.7,2016-09-21,28,"P069"
"72","L3007","D3043",10,6.22,16,2016-09-21,29,"P069"
"145","L3008","D3292",10,6.1,16.1,2016-09-21,30,"P069"
"125","L3009","D3265",10,6.08,16.1,2016-09-21,31,"P069"
"73","L3010","D3045",10,5.96,16.2,2016-09-21,32,"P069"
"158","L3011","D3305",10,5.94,16.3,2016-09-21,33,"P069"
"93","L3012","D3128",10,5.86,16.3,2016-09-21,34,"P069"
"97","L3013","D3140",10,5.69,16.5,2016-09-21,35,"P069"
"117","L3014","D3257",10,5.51,16.7,2016-09-21,36,"P069"
"127","L3015","D3267",10,5.3,16.9,2016-09-21,37,"P069"
"40","L3016","D2842",10,5.25,16.9,2016-09-21,38,"P069"
"681","L3017","D2962",10,5.15,17,2016-09-21,39,"P069"
"29","L3018","D2778",10,5.12,17.1,2016-09-21,40,"P069"
"71","L3019","D3038",10,5.11,17.1,2016-09-21,41,"P069"
"35","L3020","D2805",10,4.96,17.2,2016-09-21,42,"P069"
"115","L3021","D3255",10,4.93,17.3,2016-09-21,43,"P069"
"641","L3022","D2953",10,4.92,17.3,2016-09-21,44,"P069"
"105","L3023","D3197",10,4.9,17.3,2016-09-21,45,"P069"
"154","L3024","D3301",10,4.74,17.5,2016-09-21,46,"P069"
"128","L3025","D3268",10,4.68,17.5,2016-09-21,47,"P069"
"116","L3026","D3256",10,4.64,17.6,2016-09-21,48,"P069"
"86","L3027","D3106",40,18.5,3.7,2016-09-21,1,"P070"
"22","L3028","D2730",40,18.3,3.9,2016-09-21,2,"P070"
"49","L3029","D2924",40,17.3,4.9,2016-09-21,3,"P070"
"54","L3030","D2932",40,17.3,4.9,2016-09-21,4,"P070"
"80","L3031","D3085",40,17.2,5,2016-09-21,5,"P070"
"89","L3032","D3115",40,17.1,5.1,2016-09-21,6,"P070"
"111","L3033","D3251",40,17.1,5.1,2016-09-21,7,"P070"
"107","L3034","D3206",40,16.9,5.3,2016-09-21,8,"P070"
"88","L3035","D3114",40,16.8,5.4,2016-09-21,9,"P070"
"106","L3036","D3202",40,16.5,5.7,2016-09-21,10,"P070"
"67","L3037","D3020",40,16.1,6.1,2016-09-21,11,"P070"
"45","L3038","D2917",40,16.1,6.1,2016-09-21,12,"P070"
"108","L3039","D3213",40,16,6.2,2016-09-21,13,"P070"
"751","L3040","D2978",40,15.5,6.7,2016-09-21,14,"P070"
"701","L3041","D2969",40,15,7.2,2016-09-21,15,"P070"
"143","L3042","D3289",40,14.9,7.3,2016-09-21,16,"P070"
"69","L3043","D3029",40,14.8,7.4,2016-09-21,17,"P070"
"84","L3044","D3103",40,14.6,7.6,2016-09-21,18,"P070"
"741","L3045","D2974",40,14.2,8,2016-09-21,19,"P070"
"811","L3046","D2997",40,14.1,8.1,2016-09-21,20,"P070"
"66","L3047","D3017",40,14,8.2,2016-09-21,21,"P070"
"162","L3048","D3309",40,13.9,8.3,2016-09-21,22,"P070"
"50","L3049","D2925",40,13.8,8.4,2016-09-21,23,"P070"
"671","L3050","D2961",40,13.8,8.4,2016-09-21,24,"P070"
"70","L3051","D3031",40,13.6,8.6,2016-09-21,25,"P070"
"31","L3052","D2785",40,13.4,8.8,2016-09-21,26,"P070"
"133","L3053","D3276",40,13,9.2,2016-09-21,27,"P070"
"87","L3054","D3110",40,12.6,9.6,2016-09-21,28,"P070"
"96","L3055","D3138",40,12.5,9.7,2016-09-21,29,"P070"
"83","L3056","D3098",40,12.5,9.7,2016-09-21,30,"P070"
"94","L3057","D3129",40,12.4,9.8,2016-09-21,31,"P070"
"153","L3058","D3300",40,12.4,9.8,2016-09-21,32,"P070"
"103","L3059","D3157",40,12.2,10,2016-09-21,33,"P070"
"53","L3060","D2931",40,11.9,10.3,2016-09-21,34,"P070"
"56","L3061","D2935",40,11.9,10.3,2016-09-21,35,"P070"
"75","L3062","D3069",40,11.5,10.7,2016-09-21,36,"P070"
"104","L3063","D3158",40,11.5,10.7,2016-09-21,37,"P070"
"25","L3064","D2750",40,11.4,10.8,2016-09-21,38,"P070"
"126","L3065","D3266",40,11.4,10.8,2016-09-21,39,"P070"
"137","L3066","D3281",40,11.4,10.8,2016-09-21,40,"P070"
"90","L3067","D3116",40,11.3,10.9,2016-09-21,41,"P070"
"110","L3068","D3224",40,11.2,11,2016-09-21,42,"P070"
"36","L3069","D2815",40,11.2,11,2016-09-21,43,"P070"
"78","L3070","D3082",40,11.2,11,2016-09-21,44,"P070"
"109","L3071","D3218",40,10.8,11.4,2016-09-21,45,"P070"
"64","L3072","D3009",40,10.6,11.6,2016-09-21,46,"P070"
"85","L3073","D3104",40,10.4,11.8,2016-09-21,47,"P070"
"37","L3074","D2821",40,10.4,11.8,2016-09-21,48,"P070"
"24","L3075","D2749",75,19.4,2.8,2016-09-21,1,"P071"
"58","L3076","D2940",75,18.9,3.3,2016-09-21,2,"P071"
"165","L3077","D3312",75,18.8,3.4,2016-09-21,3,"P071"
"81","L3078","D3088",75,18.5,3.7,2016-09-21,4,"P071"
"34","L3079","D2804",75,18.2,4,2016-09-21,5,"P071"
"27","L3080","D2758",75,17.8,4.4,2016-09-21,6,"P071"
"101","L3081","D3148",75,17.5,4.7,2016-09-21,7,"P071"
"168","L3082","D3315",75,17.2,5,2016-09-21,8,"P071"
"164","L3083","D3311",75,17.2,5,2016-09-21,9,"P071"
"99","L3084","D3145",75,16.8,5.4,2016-09-21,10,"P071"
"46","L3085","D2918",75,16.7,5.5,2016-09-21,11,"P071"
"44","L3086","D2912",75,16.6,5.6,2016-09-21,12,"P071"
"26","L3087","D2757",75,16.5,5.7,2016-09-21,13,"P071"
"32","L3088","D2801",75,16.4,5.8,2016-09-21,14,"P071"
"791","L3089","D2988",75,15.8,6.4,2016-09-21,15,"P071"
"33","L3090","D2803",75,15.8,6.4,2016-09-21,16,"P071"
"38","L3091","D2833",75,15.7,6.5,2016-09-21,17,"P071"
"23","L3092","D2732",75,15.6,6.6,2016-09-21,18,"P071"
"30","L3093","D2783",75,15.3,6.9,2016-09-21,19,"P071"
"79","L3094","D3084",75,15,7.2,2016-09-21,20,"P071"
"167","L3095","D3314",75,14.9,7.3,2016-09-21,21,"P071"
"43","L3096","D2905",75,14.8,7.4,2016-09-21,22,"P071"
"42","L3097","D2888",75,14.8,7.4,2016-09-21,23,"P071"
"95","L3098","D3133",75,14.6,7.6,2016-09-21,24,"P071"
"771","L3099","D2981",75,14.5,7.7,2016-09-21,25,"P071"
"41","L3100","D2877",75,14.3,7.9,2016-09-21,26,"P071"
"62","L3101","D2948",75,14.3,7.9,2016-09-21,27,"P071"
"711","L3102","D2970",75,14.2,8,2016-09-21,28,"P071"
"28","L3103","D2772",75,14.1,8.1,2016-09-21,29,"P071"
"51","L3104","D2928",75,13.9,8.3,2016-09-21,30,"P071"
"39","L3105","D2841",75,13.9,8.3,2016-09-21,31,"P071"
"52","L3106","D2930",75,13.9,8.3,2016-09-21,32,"P071"
"801","L3107","D2993",75,13.7,8.5,2016-09-21,33,"P071"
"102","L3108","D3156",75,13.5,8.7,2016-09-21,34,"P071"
"57","L3109","D2938",75,13.5,8.7,2016-09-21,35,"P071"
"651","L3110","D2956",75,13.4,8.8,2016-09-21,36,"P071"
"155","L3111","D3302",75,13.1,9.1,2016-09-21,37,"P071"
"149","L3112","D3296",75,11.2,11,2016-09-21,38,"P071"
"156","L3113","D3303",75,11.1,11.1,2016-09-21,39,"P071"
"188","L3114","D3335",75,9.51,12.7,2016-09-21,40,"P071"
"122","L3115","D3262",75,9.21,13,2016-09-21,41,"P071"
"142","L3116","D3288",75,9.16,13,2016-09-21,42,"P071"
"136","L3117","D3280",75,9.05,13.1,2016-09-21,43,"P071"
"139","L3118","D3283",75,8.9,13.3,2016-09-21,44,"P071"
"20","L3119","D2553",75,8.63,13.6,2016-09-21,45,"P071"
"132","L3120","D3275",75,8.42,13.8,2016-09-21,46,"P071"
"123","L3121","D3263",75,8.39,13.8,2016-09-21,47,"P071"
"131","L3122","D3274",75,7.98,14.2,2016-09-21,48,"P071"
"163","L3123","D3310",200,21.1,1.1,2016-09-21,1,"P072"
"175","L3124","D3322",200,21,1.2,2016-09-21,2,"P072"
"170","L3125","D3317",200,20.7,1.5,2016-09-21,3,"P072"
"176","L3126","D3323",200,20.7,1.5,2016-09-21,4,"P072"
"140","L3127","D3284",200,20.3,1.9,2016-09-21,5,"P072"
"129","L3128","D3272",200,19.4,2.8,2016-09-21,6,"P072"
"169","L3129","D3316",200,18.7,3.5,2016-09-21,7,"P072"
"173","L3130","D3320",200,18.4,3.8,2016-09-21,8,"P072"
"161","L3131","D3308",200,17.8,4.4,2016-09-21,9,"P072"
"150","L3132","D3297",200,17.1,5.1,2016-09-21,10,"P072"
"157","L3133","D3304",200,16.5,5.7,2016-09-21,11,"P072"
"172","L3134","D3319",200,16.3,5.9,2016-09-21,12,"P072"
"171","L3135","D3318",200,14.7,7.5,2016-09-21,13,"P072"
"141","L3136","D3287",200,14.7,7.5,2016-09-21,14,"P072"
"147","L3137","D3294",200,14.7,7.5,2016-09-21,15,"P072"
"148","L3138","D3295",200,14.2,8,2016-09-21,16,"P072"
"121","L3139","D3261",200,13.5,8.7,2016-09-21,17,"P072"
"151","L3140","D3298",200,12.6,9.6,2016-09-21,18,"P072"
"114","L3141","D3254",200,11.4,10.8,2016-09-21,19,"P072"
"174","L3142","D3321",200,11,11.2,2016-09-21,20,"P072"
"186","L3143","D3333",200,11,11.2,2016-09-21,21,"P072"
"113","L3144","D3253",200,10.7,11.5,2016-09-21,22,"P072"
"130","L3145","D3273",200,10.5,11.7,2016-09-21,23,"P072"
"191","L3146","D3338",200,10.4,11.8,2016-09-21,24,"P072"
"160","L3147","D3307",200,8.8,13.4,2016-09-21,25,"P072"
"184","L3148","D3331",200,8.37,13.8,2016-09-21,26,"P072"
"180","L3149","D3327",200,8.15,14,2016-09-21,27,"P072"
"166","L3150","D3313",200,7.54,14.7,2016-09-21,28,"P072"
"152","L3151","D3299",200,7.47,14.7,2016-09-21,29,"P072"
"159","L3152","D3306",200,6.25,15.9,2016-09-21,30,"P072"
"178","L3153","D3325",200,6.21,16,2016-09-21,31,"P072"
"118","L3154","D3258",200,5.54,16.7,2016-09-21,32,"P072"
"183","L3155","D3330",200,5.48,16.7,2016-09-21,33,"P072"
"138","L3156","D3282",200,5.3,16.9,2016-09-21,34,"P072"
"192","L3157","D3339",200,4.76,17.4,2016-09-21,35,"P072"
"182","L3158","D3329",200,4.46,17.7,2016-09-21,36,"P072"
"134","L3159","D3278",200,4.41,17.8,2016-09-21,37,"P072"
"179","L3160","D3326",200,4.34,17.9,2016-09-21,38,"P072"
"177","L3161","D3324",200,4.22,18,2016-09-21,39,"P072"
"189","L3162","D3336",200,4.15,18,2016-09-21,40,"P072"
"119","L3163","D3259",200,3.96,18.2,2016-09-21,41,"P072"
"190","L3164","D3337",200,3.73,18.5,2016-09-21,42,"P072"
"120","L3165","D3260",200,3.42,18.8,2016-09-21,43,"P072"
"181","L3166","D3328",200,3.37,18.8,2016-09-21,44,"P072"
"185","L3167","D3332",200,3.24,19,2016-09-21,45,"P072"
"187","L3168","D3334",200,3.15,19.1,2016-09-21,46,"P072"
"146","L3169","D3293",200,2.81,19.4,2016-09-21,47,"P072"
"135","L3170","D3279",200,1.5,20.7,2016-09-21,48,"P072"
